,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
794,Paradero Hotel,"Mahipalpur, New Delhi",5.3,Review score,7 reviews,14.2 km from centre,No Metro Access,"Situated in New Delhi, within 7 km of Qutub Minar and 11 km of Gandhi Smriti, Paradero Hotel features accommodation with a shared lounge and as well as free private parking for guests who drive."
795,Collection O 77161 Shalimar Bagh,New Delhi,4.3,Review score,3 reviews,11.7 km from centre,No Metro Access,"Collection O 77161 Shalimar Bagh is set in New Delhi, within 10 km of Gurudwara Sis Ganj Sahib and 11 km of Jama Masjid. All rooms boast a TV with cable channels and a private bathroom."
796,OYO 28373 Hotel Shri Sai,New Delhi,,Show prices,Opens in new window,10.7 km from centre,Metro access,"OYO 28373 Hotel Shri Sai is located in New Delhi, within 12 km of Red Fort and 12 km of Gurudwara Sis Ganj Sahib."
797,Vegas Premium,"South West, New Delhi",,Show prices,Opens in new window,15.6 km from centre,No Metro Access,"Set just 13 km from Rashtrapati Bhavan, Vegas Premium offers accommodation in New Delhi with access to a shared lounge, a garden, as well as a 24-hour front desk."
798,Vaccinated Staff- OYO Townhouse 245 Sunder Vihar,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,13.4 km from centre,No Metro Access,Vaccinated Staff- OYO Townhouse 245 Sunder Vihar features air-conditioned rooms with cable TV in the Pashim Vihar district of New Delhi.
799,Vaccinated Staff- OYO Flagship 75558 The Gour Lazeez Hotel Near Lajpat Nagar Metro Station,"South Delhi, New Delhi",3.3,Review score,4 reviews,7.5 km from centre,No Metro Access,OYO Flagship 75558 The Gour Lazeez Hotel Near Lajpat Nagar Metro Station features air-conditioned rooms with cable TV in the South Delhi district of New Delhi.
800,Western Blu,"Pashim Vihar, New Delhi",7.3,Good,3 reviews,13 km from centre,No Metro Access,"Situated in New Delhi, within 12 km of Rashtrapati Bhavan and 12 km of Gurudwara Bangla Sahib, Western Blu features accommodation with a restaurant and as well as free private parking for guests who..."
801,OYO 79890 Dev Guest House,"South Delhi, New Delhi",,Show prices,Opens in new window,10.7 km from centre,No Metro Access,"Set in New Delhi, 1.7 km from Lotus Temple, OYO 79890 Dev Guest House offers rooms with air conditioning and free WiFi."
802,Exotic stay,"Dwarka, New Delhi",,Show prices,Opens in new window,17.4 km from centre,No Metro Access,"Situated within 15 km of Rashtrapati Bhavan, Exotic stay in New Delhi features a restaurant, as well as free WiFi. This 1-star hotel offers a 24-hour front desk."
803,OYO 18618 Ocean Blue Residency,"East Delhi, New Delhi",2.8,Review score,3 reviews,5.9 km from centre,No Metro Access,OYO 18618 Ocean Blue Residency features air-conditioned rooms with cable TV in the East Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk and room service.
804,Vaccinated Staff - OYO Townhouse 381 Dilshad Garden,New Delhi,3.1,Review score,7 reviews,11.5 km from centre,No Metro Access,"Set 8 km from Rāj Ghāt, Vaccinated Staff - OYO Townhouse 381 Dilshad Garden offers rooms with air conditioning in New Delhi."
805,Hotel RS Plaza,New Delhi,,Show prices,Opens in new window,14.2 km from centre,No Metro Access,"Hotel RS Plaza is located in New Delhi, 7 km from Qutub Minar, and features a shared lounge. The property is set 11 km from Gandhi Smriti."
806,Vardhmaan By WB Inn,New Delhi,,Show prices,Opens in new window,3 km from centre,No Metro Access,"Vardhmaan By WB Inn offers air-conditioned rooms in New Delhi. 2.7 km from Gurudwara Bangla Sahib, the property is also 3.1 km away from Jantar Mantar."
807,OYO 81569 The Red Rose Inn,"Paharganj, New Delhi",,Show prices,Opens in new window,1.1 km from centre,No Metro Access,OYO 81569 The Red Rose Inn is set in New Delhi. This property is situated a short distance from attractions such as Jantar Mantar and Gurudwara Bangla Sahib.
808,OYO 81419 Blue Diamond,New Delhi,,Show prices,Opens in new window,8.4 km from centre,No Metro Access,OYO 81419 Blue Diamond is a 3-star property situated in New Delhi. The property is set 5 km from Rāj Ghāt. Red Fort is 6 km away. All rooms in the hotel are equipped with a TV.
809,Capital O 81490 Hotel Dev International,"Paharganj, New Delhi",,Show prices,Opens in new window,1.4 km from centre,No Metro Access,"Capital O 81490 Hotel Dev International is located in New Delhi, within 1.8 km of Jama Masjid and 2 km of Gurudwara Sis Ganj Sahib."
810,Capital O 81421 Taj Homes,"Dwarka, New Delhi",,Show prices,Opens in new window,19.8 km from centre,No Metro Access,"Situated within 14 km of Qutub Minar, Capital O 81421 Taj Homes in New Delhi has a number of amenities including a restaurant."
811,Vaccinated Staff- OYO 75860 Green High,"East Delhi, New Delhi",6.0,Review score,3 reviews,5.4 km from centre,No Metro Access,"Set within 2 km of Swaminarayan Akshardham and 2.1 km of Swaminarayan Akshardham, Vaccinated Staff- OYO 75860 Green High offers rooms with air conditioning and a private bathroom in New Delhi."
812,"Aggarwal guest houses lajpat nagar, foreigners area, very safe, attached fully equipped kitchen and washroom, wifi with android tvs, cream location","South Delhi, New Delhi",,Show prices,Opens in new window,7.4 km from centre,No Metro Access,"Set in New Delhi, 4.4 km from Humayun's Tomb, couple friendly Posh south delhi foreigners area, very safe, attached kitchen and washroom, wifi with android tvs, cream location offers accommodation..."
813,OYO 26589 Hotel Royal Town,"Janakpuri, New Delhi",2.3,Review score,4 reviews,14.2 km from centre,No Metro Access,"Well situated in the Janakpuri district of New Delhi, OYO 26589 Hotel Royal Town is set 14 km from Rashtrapati Bhavan, 14 km from Gandhi Smriti and 16 km from Gurudwara Bangla Sahib."
814,Trimrooms Pushpak,"Paharganj, New Delhi",9.3,Superb,3 reviews,1.3 km from centre,No Metro Access,Trimrooms Pushpak features accommodation in New Delhi. The property is around 2 km from Jama Masjid and 2.1 km from Jantar Mantar. Gurudwara Sis Ganj Sahib is 2.2 km from the property.
815,Vaccinated Staff- OYO 77867 Flagship Silver Palace,"Dwarka, New Delhi",,Show prices,Opens in new window,16.8 km from centre,Metro access,"Offering air-conditioned rooms in the Dwarka district of New Delhi, Vaccinated Staff- OYO 77867 Flagship Silver Palace is 13 km from Qutub Minar."
816,Vaccinated Staff- OYO 80630 Comfortable Stay,"North Delhi, New Delhi",,Show prices,Opens in new window,10.4 km from centre,No Metro Access,"Set within 10 km of Gurudwara Sis Ganj Sahib and 10 km of Jama Masjid, OYO 80630 Comfortable Stay offers rooms with air conditioning and a private bathroom in New Delhi."
817,Green Plaza At Airport,"South West, New Delhi",,Show prices,Opens in new window,15.3 km from centre,No Metro Access,"Situated in New Delhi, 9 km from Qutub Minar, Green Plaza At Airport features accommodation with a restaurant, free private parking, a shared lounge and a terrace."
818,Shivam Residency,"South West, New Delhi",7.0,Good,3 reviews,15.1 km from centre,No Metro Access,"Situated in New Delhi, within 12 km of Qutub Minar and 12 km of Rashtrapati Bhavan, Shivam Residency features accommodation with a terrace and as well as free private parking for guests who drive."
819,Vaccinated Staff - OYO 79655 Kailash Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,9.1 km from centre,Metro access,"Featuring a bar, OYO 79655 Kailash Inn is set in New Delhi, 1.5 km from Lotus Temple. All rooms boast a TV with cable channels and a private bathroom."
820,SIKSHA SADAN,New Delhi,,Show prices,Opens in new window,17.8 km from centre,No Metro Access,"Located in New Delhi in the Delhi NCR region, SIKSHA SADAN features a balcony. This holiday home is 17 km from Gandhi Smriti and 17 km from Jantar Mantar."
821,OYO Flagship 76287 Sai Upwan Sector 6C,"Rohini, New Delhi",,Show prices,Opens in new window,14.3 km from centre,No Metro Access,OYO Flagship 76287 Sai Upwan Sector 6C features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
822,Vaccinated Staff- CAPITAL O76233 Hotel Avaana,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.5 km from centre,No Metro Access,"Conveniently located in the Mahipalpur district of New Delhi, CAPITAL O76233 Hotel Avaana is set 6 km from Qutub Minar, 10 km from Gandhi Smriti and 10 km from Rashtrapati Bhavan."
823,OYO 76554 Blu Lagoon,"Malviya Nagar, New Delhi",7.6,Good,7 reviews,11.6 km from centre,No Metro Access,OYO 76554 Blu Lagoon features air-conditioned rooms with cable TV in the Malviya Nagar district of New Delhi.
824,Holiday Hospitality Hotel De Aura,"Mahipalpur, New Delhi",8.5,Very good,4 reviews,13.9 km from centre,Metro access,"Located in New Delhi, 7 km from Qutub Minar, Hello - A Boutique Hotel provides accommodation with a restaurant, free private parking and a shared lounge."
825,Vaccinated Staff- OYO 78143 The Dream House,"Safdarjung Enclave, New Delhi",4.4,Review score,4 reviews,8.6 km from centre,No Metro Access,"Set in New Delhi, 6 km from Lodhi Gardens, 1BR Stay in Safdarjung offers air-conditioned accommodation and a shared lounge."
826,Hotel Anand Lok Inn,"Mahipalpur, New Delhi",7.8,Good,3 reviews,13.1 km from centre,No Metro Access,"Located just 3 km away from the Indira Gandhi International Airport, Hotel Anand Lok Inn offers free Wi-Fi in all areas. Guests can approach the 24-hour front desk for assistance at all times."
827,OYO 75798 Jai Palace,"New Friends Colony, New Delhi",,Show prices,Opens in new window,8.7 km from centre,No Metro Access,"Located within 2.6 km of Lotus Temple and 3.4 km of Humayun's Tomb, OYO 75798 Jai Palace provides rooms with air conditioning and a private bathroom in New Delhi."
828,Shubham Vilas,"West Delhi, New Delhi",8.7,Fabulous,22 reviews,10.2 km from centre,Metro access,"Shubham Vilas features air-conditioned rooms with cable flat-screen TV in the West Delhi district of New Delhi. Featuring family rooms, this property also provides guests with a terrace."
829,Vaccinated Staff- OYO 77846 The Golden Bridge,"Rohini, New Delhi",,Show prices,Opens in new window,13.4 km from centre,No Metro Access,Vaccinated Staff- OYO 77846 The Golden Bridge features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
830,OYO 69520 Amazing Stays,"Rohini, New Delhi",,Show prices,Opens in new window,14.4 km from centre,No Metro Access,OYO 69520 Amazing Stays features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
831,Vaccinated Staff- OYO 79963 Collection O Hotel Tisya,New Delhi,,Show prices,Opens in new window,13.5 km from centre,No Metro Access,"Set within 13 km of Gurudwara Bangla Sahib and 13 km of Rashtrapati Bhavan, OYO 79963 Collection O Hotel Tisya offers rooms with air conditioning and a private bathroom in New Delhi."
832,"THE MOUNT SHIVA DX. PAHAR GANJ, NEW DELHI, ARAKASHAN ROAD ROAD","Paharganj, New Delhi",6.3,Review score,3 reviews,1.5 km from centre,No Metro Access,"Located in New Delhi, 1.9 km from Jama Masjid, THE MOUNT SHIVA DX. PAHAR GANJ, NEW DELHI, ARAKASHAN ROAD ROAD offers a tour desk and free WiFi."
833,Hotel Gulshan Inn,"Mahipalpur, New Delhi",8.2,Very good,5 reviews,13.4 km from centre,No Metro Access,"6 km from Qutub Minar, Hotel Gulshan Inn is situated in New Delhi and provides free WiFi, a tour desk and a ticket service."
834,SilverKey Executive Stays 48195 Badarpur,"South Delhi, New Delhi",,Show prices,Opens in new window,15.9 km from centre,No Metro Access,"Attractively set in the South Delhi district of New Delhi, SilverKey Executive Stays 48195 Badarpur is situated 1.6 km from Tughlaqabad Fort, 7 km from Lotus Temple and 11 km from Qutub Minar."
835,Vaccinated Staff- Collection O 19494 Dwarka Sector 7,"South West, New Delhi",3.2,Review score,3 reviews,15.7 km from centre,No Metro Access,"Situated in New Delhi, within 17 km of Rashtrapati Bhavan and 17 km of Humayun's Tomb, Vaccinated Staff- Collection O 19494 Dwarka Sector 7 offers accommodation with free WiFi throughout the property...."
836,The Castle Stay,"Safdarjung Enclave, New Delhi",,Show prices,Opens in new window,8.1 km from centre,Metro access,"Conveniently situated in the Safdarjung Enclave district of New Delhi, The Castle Stay is located 4 km from Lodhi Gardens, 4 km from Gandhi Smriti and 5 km from Qutub Minar."
837,STAY24 035 JASRAM HERITAGE,"Jasola, New Delhi",,Show prices,Opens in new window,12 km from centre,Metro access,"Situated in New Delhi, within 3.4 km of Lotus Temple and 5 km of Tughlaqabad Fort, STAY24 035 JASRAM HERITAGE features accommodation with a restaurant and as well as free private parking for guests..."
838,"Oyo 78892 the prime Residency, Near MAX hospital","South Delhi, New Delhi",2.8,Review score,3 reviews,10.9 km from centre,No Metro Access,"Comfort Homestay in Delhi is situated in the South Delhi district of New Delhi, 3.6 km from Qutub Minar, 6 km from Lotus Temple and 7 km from Lodhi Gardens."
839,Vaccinated Staff- OYO 79902 Flagship Hotel Olive Saffron,"Rohini, New Delhi",,Show prices,Opens in new window,16.4 km from centre,No Metro Access,"Located within 16 km of Gurudwara Bangla Sahib and 16 km of Gurudwara Sis Ganj Sahib, OYO 79902 Flagship HOTEL SANJAY provides rooms with air conditioning and a private bathroom in New Delhi."
840,OYO 69987 The Cozy Inn,New Delhi,,Show prices,Opens in new window,14.1 km from centre,No Metro Access,"OYO Flagship 30760 Samaypur Badli is situated in New Delhi, 16 km from Red Fort and 17 km from Gurudwara Sis Ganj Sahib. All rooms boast a TV with cable channels and a private bathroom."
841,Sweet stay,"West Delhi, New Delhi",,Show prices,Opens in new window,8.2 km from centre,Metro access,"Located in New Delhi, 6 km from Rashtrapati Bhavan and 7 km from Gurudwara Bangla Sahib, Sweet stay offers air conditioning."
842,OYO 10556 Hotel India International,"Paharganj, New Delhi",7.2,Good,8 reviews,1.3 km from centre,Metro access,OYO 10556 Hotel India International features air-conditioned rooms with cable TV in the Paharganj district of New Delhi. This 3-star hotel offers room service. The hotel has family rooms.
843,CHANSON HOTELS- Delhi,"Pashim Vihar, New Delhi",6.5,Review score,10 reviews,13.1 km from centre,No Metro Access,CHANSON HOTELS- Delhi features air-conditioned rooms with cable flat-screen TV in the Pashim Vihar district of New Delhi.
844,Hotel Vin Inn,"Paharganj, New Delhi",,Show prices,Opens in new window,1.3 km from centre,Metro access,"Situated in New Delhi, within 1.7 km of Jantar Mantar and 1.7 km of Gurudwara Bangla Sahib, Hotel Vin Inn provides accommodation with a terrace and as well as free private parking for guests who..."
845,Vaccinated Staff - OYO 70878 Mangotree Deluxe,"West Delhi, New Delhi",,Show prices,Opens in new window,7.9 km from centre,Metro access,OYO 70878 Mangotree Deluxe features air-conditioned rooms with cable TV in the West Delhi district of New Delhi.
846,OYO Flagship 30703 Hotel Golden Coin Sector 17 Near Delhi Technical University,"Rohini, New Delhi",,Show prices,Opens in new window,15.8 km from centre,No Metro Access,OYO Flagship 30703 Hotel Golden Coin Sector 17 Near Delhi Technical University features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
847,OYO 70983 Hotel Citi Heart,"Karol bagh, New Delhi",,Show prices,Opens in new window,3.9 km from centre,Metro access,OYO 70983 Hotel Citi Heart features air-conditioned rooms with cable TV in the Karol bagh district of New Delhi.
848,Al Ashfaq Guest House,"North Delhi, New Delhi",3.3,Review score,4 reviews,1.9 km from centre,Metro access,"Situated in New Delhi, 200 metres from Jama Masjid, Al Ashfaq Guest House features air-conditioned rooms with free WiFi."
849,Budget Stay in Delhi,"South West, New Delhi",,Show prices,Opens in new window,15 km from centre,No Metro Access,"Budget Stay in Delhi is located in the South West district of New Delhi, 13 km from Rashtrapati Bhavan, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla Sahib."
850,Hotel Green Castle,"North Delhi, New Delhi",4.0,Review score,3 reviews,3.6 km from centre,Metro access,"Attractively set in the Chandni Chowk district of New Delhi, Hotel Green Castle is situated 1.2 km from Gurudwara Sis Ganj Sahib, 1.6 km from Red Fort and 1.8 km from Jama Masjid."
851,FabHotel Anvi Mahipalpur,"Mahipalpur, New Delhi",9.3,Superb,3 reviews,12.9 km from centre,No Metro Access,"Offering air-conditioned rooms in the Mahipalpur district of New Delhi, FabHotel Anvi Mahipalpur is 6 km from Qutub Minar."
852,Vaccinated Staff - Collection O 79356 Mahavir Enclave,"South West, New Delhi",,Show prices,Opens in new window,14.1 km from centre,Metro access,Vaccinated Staff - Collection O 79356 Mahavir Enclave features air-conditioned rooms with cable TV in the South West district of New Delhi.
853,Vaccinated Staff- OYO 30504 P.R Residency,"Dwarka, New Delhi",,Show prices,Opens in new window,16.7 km from centre,Metro access,"Conveniently located in the Dwarka district of New Delhi, Vaccinated Staff- OYO 30504 P.R Residency is set 19 km from Rashtrapati Bhavan, 19 km from Gandhi Smriti and 21 km from Gurudwara Bangla..."
854,Vaccinated Staff- OYO Flagship 39600 Sathguru Residency,New Delhi,,Show prices,Opens in new window,9.7 km from centre,No Metro Access,"Vaccinated Staff- OYO Flagship 39600 Sathguru Residency is set in New Delhi, within 7 km of Swaminarayan Akshardham and 7 km of Swaminarayan Akshardham. This 3-star hotel offers room service."
855,Vaccinated Staff - Townhouse OAK Hotel C Pearls,New Delhi,,Show prices,Opens in new window,19.2 km from centre,Metro access,"Townhouse OAK Hotel C Pearls is situated in New Delhi, within 18 km of Rashtrapati Bhavan and 18 km of Gurudwara Bangla Sahib."
856,Key Community Boys PG,"South Delhi, New Delhi",8.1,Very good,8 reviews,12.5 km from centre,Metro access,"4.2 km from Lotus Temple, Key Community Boys PG is situated in New Delhi and provides free WiFi and express check-in and check-out. All rooms boast a kitchen and a shared bathroom."
857,Apt# ONE-FOUR-TWO - with Lift - High Speed Wifi - Smart TV,"South Delhi, New Delhi",,Show prices,Opens in new window,7.2 km from centre,Metro access,"Apt# ONE-FOUR-TWO - with Lift - High Speed Wifi - Smart TV has city views, free WiFi and free private parking, located in New Delhi, 2.5 km from Humayun's Tomb."
858,Capital O 76595 Hotel 16,New Delhi,5.3,Review score,7 reviews,10.4 km from centre,Metro access,"Capital O 76595 Hotel 16 is situated in New Delhi, within 9 km of Gurudwara Sis Ganj Sahib and 10 km of Jama Masjid."
859,OYO 49750 Surya Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,5.9 km from centre,Metro access,OYO 49750 Surya Inn features air-conditioned rooms with cable TV in the South Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk and room service.
860,Hotel Ashoka Palace - New Delhi,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.8 km from centre,No Metro Access,"Hotel Ashoka Palace - New Delhi is located in the Mahipalpur district of New Delhi, 6 km from Qutub Minar, 10 km from Gandhi Smriti and 10 km from Lodhi Gardens."
861,"Hostie Ramsabagh – 4 BR Artistic Farm Villa, Delhi",New Delhi,8.1,Very good,4 reviews,22.7 km from centre,No Metro Access,"Located in New Delhi, 15 km from Qutub Minar and 22 km from Lotus Temple, Hostie Ramsabagh – 4 BR Artistic Farm Villa, Delhi offers a seasonal outdoor swimming pool and air conditioning."
862,OYO 65378 Grand Palace,"Rohini, New Delhi",5.0,Review score,5 reviews,15.8 km from centre,No Metro Access,OYO 65378 Grand Palace features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
863,OYO 81182 Collection O Comfy Stay Hotels,"Greater Kailash 1, New Delhi",,Show prices,Opens in new window,9.6 km from centre,No Metro Access,"Situated in New Delhi, 2.4 km from Lotus Temple, OYO 78620 C193 1 Gk One offers rooms with air conditioning."
864,Vaccinated Staff- OYO 77280 Hotel Bliss,"South West, New Delhi",,Show prices,Opens in new window,15.9 km from centre,No Metro Access,Vaccinated Staff- OYO 77280 Hotel Bliss features air-conditioned rooms with cable TV in the South West district of New Delhi.
865,Vaccinated Staff- OYO 65319 BD Palace,"Dwarka, New Delhi",,Show prices,Opens in new window,16.8 km from centre,Metro access,"Conveniently set in the Dwarka district of New Delhi, OYO 65319 BD Palace is located 19 km from Gandhi Smriti, 20 km from Rashtrapati Bhavan and 21 km from Gurudwara Bangla Sahib."
866,Vaccinated Staff- Capital O 12674 Hotel Grand Suites,"Mahipalpur, New Delhi",7.1,Good,8 reviews,13.8 km from centre,No Metro Access,"Ideally situated in the Mahipalpur district of New Delhi, Capital O 12674 Hotel Grand Suites is situated 10 km from Qutub Minar, 13 km from Gandhi Smriti and 15 km from Gurudwara Bangla Sahib."
867,HOTEL SURYA INTERNATIONAL,"Karol bagh, New Delhi",,Show prices,Opens in new window,3.6 km from centre,Metro access,"Set in New Delhi, 4 km from Gurudwara Bangla Sahib, HOTEL SURYA INTERNATIONAL offers accommodation with a restaurant, free private parking, a bar and a terrace."
868,Dream House BnB,"Safdarjung Enclave, New Delhi",5.7,Review score,3 reviews,8.6 km from centre,No Metro Access,"Set in New Delhi, 4.3 km from Qutub Minar and 4.3 km from Lodhi Gardens, Dream House BnB offers a shared lounge and air conditioning. It is situated 4.4 km from Gandhi Smriti and offers room service."
869,Vaccinated Staff- OYO 13027 Shri Hari Kunj,"Rohini, New Delhi",,Show prices,Opens in new window,13.3 km from centre,No Metro Access,"Well set in the Rohini district of New Delhi, OYO 13027 Shri Hari Kunj is located 17 km from Red Fort, 17 km from Gurudwara Sis Ganj Sahib and 17 km from Jama Masjid."
870,TULIP INN WEST DELHI,"West Delhi, New Delhi",7.6,Good,12 reviews,10.7 km from centre,No Metro Access,"Set in New Delhi, 9 km from Rashtrapati Bhavan, TULIP INN WEST DELHI offers air-conditioned rooms and a bar."
871,Iris Park,"Safdarjung Enclave, New Delhi",,Show prices,Opens in new window,8.1 km from centre,No Metro Access,Iris Park features air-conditioned rooms with cable flat-screen TV in the Safdarjung Enclave district of New Delhi.
872,RR Residency,"Janakpuri, New Delhi",,Show prices,Opens in new window,13 km from centre,No Metro Access,"Operating a 24-hour front desk to welcome and assist guests, RR Residency is located barely 10 metres from Indian Air Force Museum, Palam. Free Wi-Fi access is available."
873,OYO 2357 Home Stay The Excellency,"Malviya Nagar, New Delhi",,Show prices,Opens in new window,11.1 km from centre,No Metro Access,"Conveniently set in the Malviya Nagar district of New Delhi, OYO 2357 Home Stay The Excellency is located 3.7 km from Qutub Minar, 7 km from Lotus Temple and 8 km from Lodhi Gardens."
874,Hari Piorko Grand,"Paharganj, New Delhi",,Show prices,Opens in new window,1.3 km from centre,Metro access,"Featuring a restaurant and a shared lounge, Hari Piorko Grand is located in New Delhi, 1.6 km from Jantar Mantar and 1.6 km from Gurudwara Bangla Sahib."
875,Vaccinated Staff- OYO Home 63471 Peaceful Stay,"West Delhi, New Delhi",,Show prices,Opens in new window,9.3 km from centre,Metro access,OYO Home 63471 Peaceful Stay features air-conditioned rooms with cable TV in the West Delhi district of New Delhi.
876,Vaccinated Staff - OYO 79738 Elegant Rooms Virender Nagar,"Janakpuri, New Delhi",,Show prices,Opens in new window,12.3 km from centre,No Metro Access,"Ideally set in the Janakpuri district of New Delhi, Vaccinated Staff - OYO 79738 Elegant Rooms Virender Nagar is set 13 km from Rashtrapati Bhavan, 13 km from Gandhi Smriti and 15 km from Gurudwara..."
877,OYO 75287 Pubg Residency,"Mayur Vihar Phase 1, New Delhi",,Show prices,Opens in new window,7.5 km from centre,No Metro Access,OYO 75287 Pubg Residency features air-conditioned rooms with cable TV in the Mayur Vihar Phase 1 district of New Delhi.
878,Hotel Golden Prime,"South Delhi, New Delhi",,Show prices,Opens in new window,10.7 km from centre,No Metro Access,Hotel Golden Prime features air-conditioned rooms with flat-screen TV in the South Delhi district of New Delhi. This 2-star hotel offers a 24-hour front desk and room service.
879,Ashwani hotel,"Paharganj, New Delhi",7.7,Good,10 reviews,1.2 km from centre,No Metro Access,"Offering air-conditioned rooms in the Paharganj district of New Delhi, Ashwani hotel is 1.8 km from Jama Masjid. This 2-star hotel offers an ATM and ticket service."
880,Hotel Knight Inn,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.1 km from centre,No Metro Access,"Set in New Delhi, 6 km from Qutub Minar, Hotel Knight Inn features rooms with air conditioning. This 3-star hotel offers a 24-hour front desk. The property is 9 km from Gandhi Smriti."
881,OYO 78109 Premium Villa,"Chattarpur, New Delhi",,Show prices,Opens in new window,15.1 km from centre,No Metro Access,OYO 78109 Premium Villa features air-conditioned rooms with cable TV in the Chattarpur district of New Delhi.
882,ROYAL CAstle palace,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.4 km from centre,No Metro Access,"Featuring a terrace, ROYAL CASTEL is set in New Delhi, 6 km from Qutub Minar. The property is located 10 km from Gandhi Smriti and 10 km from Rashtrapati Bhavan."
883,OYO 70849 Hotel Sarvasa Residency,"Rohini, New Delhi",6.8,Review score,6 reviews,17 km from centre,No Metro Access,OYO 70849 Hotel Sarvasa Residency features air-conditioned rooms with cable TV in the Rohini district of New Delhi.
884,OYO 15764 Hotel Akash Continental,"West Delhi, New Delhi",5.0,Review score,3 reviews,10.9 km from centre,No Metro Access,"Well set in the Hari Nagar district of New Delhi, OYO 15764 Hotel Akash Continental is located 13 km from Rashtrapati Bhavan, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla Sahib."
885,Vaccinated Staff - Collection O 50134 Nk Residency Kalkaji,"South Delhi, New Delhi",2.0,Review score,4 reviews,12.8 km from centre,No Metro Access,"Situated conveniently in the South Delhi district of New Delhi, Collection O 50134 Nk Residency Kalkaji is set 2.3 km from Tughlaqabad Fort, 3.2 km from Lotus Temple and 8 km from Qutub Minar."
886,Hotel Sai Mahal,"Paharganj, New Delhi",9.0,Superb,3 reviews,1.7 km from centre,No Metro Access,"Set in New Delhi, 2.2 km from Gurudwara Bangla Sahib, Hotel Sai Mahal features air-conditioned accommodation and a shared lounge."
887,Hotel Eternity,"West Delhi, New Delhi",5.7,Review score,7 reviews,10.9 km from centre,No Metro Access,Hotel Eternity is located in New Delhi and operates a 24-hour front desk to welcome and assist guests. It is within 15 km from the iconic India Gate and Red Fort.
888,OYO 80610 Harsh Palace,"New Friends Colony, New Delhi",,Show prices,Opens in new window,8.7 km from centre,No Metro Access,"Located within 3.2 km of Lotus Temple and 3.5 km of Humayun's Tomb, OYO 80610 Harsh Palace provides rooms with air conditioning and a private bathroom in New Delhi."
889,Tanwar Homestay,New Delhi,,Show prices,Opens in new window,10.4 km from centre,No Metro Access,"Situated in New Delhi, 10 km from Red Fort and 10 km from Gurudwara Sis Ganj Sahib, Tanwar Homestay offers a terrace and air conditioning."
890,Vaccinated Staff - Collection O 48872 United Hotels,"South West, New Delhi",,Show prices,Opens in new window,18.6 km from centre,No Metro Access,"Conveniently located in the South West district of New Delhi, Collection O 48872 Kapashera is set 10 km from Qutub Minar, 15 km from Gandhi Smriti and 15 km from Rashtrapati Bhavan."
891,Rockland hotel,"South Delhi, New Delhi",,Show prices,Opens in new window,8.9 km from centre,No Metro Access,"Situated in New Delhi, less than 1 km from Lotus Temple, Rockland hotel features accommodation with a restaurant, free private parking, a garden and a terrace."
892,Vaccinated Staff- OYO DTT027 Pearl City,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.4 km from centre,No Metro Access,"Conveniently situated in the Mahipalpur district of New Delhi, FabExpress Pearl Robe I is located 6 km from Qutub Minar, 10 km from Gandhi Smriti and 10 km from Rashtrapati Bhavan."
893,Dev Palace Kapashera,"South West, New Delhi",10,Exceptional,4 reviews,17.9 km from centre,No Metro Access,"Located in New Delhi, within 10 km of Qutub Minar and 14 km of Gandhi Smriti, Airport Hotel Dev Palace provides accommodation with a shared lounge and free WiFi throughout the property as well as free..."
894,FabHotel La Paz Stay,"Malviya Nagar, New Delhi",9.5,Exceptional,4 reviews,11.8 km from centre,Metro access,"Boasting a terrace and a shared kitchen, FabHotel La Paz Stay is ideally set in Malviya Nagar district of New Delhi, 1.7 km from Qutub Minar and 6 km from Lotus Temple."
895,Raas Fully Furnished 1BHK Independent Apartment 1 in Greater Kailash 1,"Greater Kailash 1, New Delhi",10,Exceptional,3 reviews,9.8 km from centre,No Metro Access,"Raas Fully Furnished 1BHK Independent Apartment 1 in Greater Kailash 1 is set in the Greater Kailash 1 district of New Delhi, 5 km from Humayun's Tomb, 5 km from Lodhi Gardens and 6 km from..."
896,OYO Flagship 76582 Dev Palace,New Delhi,,Show prices,Opens in new window,19.6 km from centre,No Metro Access,"Situated in New Delhi, OYO Flagship 76582 Dev Palace features 3-star accommodation with private balconies. This 3-star hotel offers a 24-hour front desk and room service."
